"Variable","PC1","PC2","PC3","PC4","PC5"
"LICUADORA",-0.2605,-0.3503,0.3408,-0.5135,-0.549
"REFRI",-0.2797,-0.0786,0.2659,-0.1811,0.0026
"EST_GAS",-0.268,-0.2468,0.382,-0.1301,0.7948
"CAL_AGUA",-0.2887,0.2145,-0.0944,-0.024,-0.0149
"RADIO",-0.2229,-0.5882,-0.7509,-0.1509,0.1021
"TOCADISC",-0.2866,0.1889,-0.038,-0.0265,-0.0721
"TELEVIS",-0.2526,-0.4258,0.214,0.8082,-0.1993
"VIDEOCAS",-0.2906,0.1975,-0.0921,0.0451,-0.0267
"LAVADORA",-0.2907,0.1543,-0.0205,0.0053,0.0133
"VENTILA",-0.2829,0.0556,0.0431,0.041,-0.0815
"AUTO_PROP",-0.2914,0.2194,-0.1109,0.0478,-0.0098
"CAMION_PRO",-0.2899,0.1752,-0.0734,0.0333,0.0585
"TRACTOR",-0.2918,0.2375,-0.1368,0.0464,-0.0181
