"Variable","PC1","PC2","PC3","PC4","PC5"
"LICUADORA",-0.4015,0.1883,-0.2601,0.0202,-0.1487
"REFRI",-0.4293,-0.0256,0.0676,0.1239,-0.0041
"EST_GAS",-0.3929,0.113,-0.0985,0.0837,-0.1045
"CAL_AGUA",-0.1723,0.1158,-0.231,-0.5441,0.3431
"RADIO",-0.1252,0.7057,0.0648,-0.0143,0.0927
"TOCADISC",-0.2618,-0.5595,-0.2631,-0.0659,-0.1101
"TELEVIS",-0.3932,0.1638,-0.1188,0.187,-0.1783
"VIDEOCAS",-0.2348,-0.2341,-0.2009,-0.2729,0.1347
"LAVADORA",-0.3058,-0.1103,0.3044,-0.0371,0.2117
"VENTILA",-0.2389,-0.1752,0.5034,0.4206,0.0511
"AUTO_PROP",-0.1512,-0.0397,0.4871,-0.3383,0.4179
"TRACTOR",-0.055,0.0233,0.3918,-0.5239,-0.746
