"Variable","PC1","PC2","PC3"
"LICUADORA",-0.6773,0.2104,-0.2727
"REFRI",-0.7241,-0.0286,0.0709
"EST_GAS",-0.6628,0.1263,-0.1033
"CAL_AGUA",-0.2906,0.1293,-0.2422
"RADIO",-0.2112,0.7884,0.068
"TOCADISC",-0.4417,-0.625,-0.2759
"TELEVIS",-0.6632,0.183,-0.1246
"VIDEOCAS",-0.396,-0.2615,-0.2107
"LAVADORA",-0.5157,-0.1232,0.3192
"VENTILA",-0.403,-0.1957,0.5278
"AUTO_PROP",-0.2551,-0.0443,0.5107
"TRACTOR",-0.0928,0.0261,0.4108
