"Variable","PC1","PC2","PC3","PC4","PC5"
"LICUADORA",0.3762,0.22,0.048,0.2481,0.0165
"REFRI",0.3869,0.0068,-0.1873,-0.0198,-0.0771
"EST_GAS",0.3811,0.2633,-0.0344,0.1411,0.0091
"CAL_AGUA",0.1744,-0.3695,0.4778,0.2919,-0.0044
"RADIO",0.2071,0.4069,0.513,-0.083,0.1587
"TOCADISC",0.2328,-0.3878,-0.2663,0.4275,-0.0169
"TELEVIS",0.3582,0.3347,0.0154,0.0799,0.0329
"VIDEOCAS",0.234,-0.3841,0.0806,0.2202,0.1209
"LAVADORA",0.3144,-0.1911,-0.0971,-0.2942,-0.1205
"VENTILA",0.2911,0.0313,-0.4946,-0.3293,-0.0394
"AUTO_PROP",0.1783,-0.2904,0.1233,-0.4679,0.7158
"CAMION_PRO",0.194,-0.2199,0.3508,-0.4177,-0.6512
