"targeting_method","n","mean_score","sd_score","median_score","q25","q75","acceptance_rate"
"Other Methods",1518052,1.18227595266827,1.12414822971304,1.0615,0.346,1.926,62.6913307321759
"Ventanilla",347671,1.06293092320035,0.934428061420959,1.064,0.404,1.686,51.0928435215301
