"Variable","PC1","PC2","PC3"
"LICUADORA",-0.8623,-0.3055,0.1952
"REFRI",-0.9258,-0.0685,0.1523
"EST_GAS",-0.8869,-0.2152,0.2188
"CAL_AGUA",-0.9555,0.187,-0.054
"RADIO",-0.7379,-0.5129,-0.43
"TOCADISC",-0.9487,0.1647,-0.0218
"TELEVIS",-0.836,-0.3713,0.1225
"VIDEOCAS",-0.962,0.1722,-0.0527
"LAVADORA",-0.9623,0.1346,-0.0117
"VENTILA",-0.9362,0.0485,0.0247
"AUTO_PROP",-0.9644,0.1913,-0.0635
"CAMION_PRO",-0.9595,0.1528,-0.042
"TRACTOR",-0.9656,0.2071,-0.0783
