"Variable","PC1","PC2","PC3"
"LICUADORA",0.1958,0.1872,0.048
"REFRI",0.2014,0.0058,-0.1871
"EST_GAS",0.1984,0.224,-0.0344
"CAL_AGUA",0.0908,-0.3144,0.4775
"RADIO",0.1078,0.3462,0.5126
"TOCADISC",0.1211,-0.3299,-0.2661
"TELEVIS",0.1864,0.2848,0.0154
"VIDEOCAS",0.1218,-0.3268,0.0806
"LAVADORA",0.1636,-0.1626,-0.0971
"VENTILA",0.1515,0.0266,-0.4942
"AUTO_PROP",0.0928,-0.247,0.1232
"CAMION_PRO",0.101,-0.1871,0.3506
