"Component","Eigenvalue","Proportion","Cumulative"
"PC1",2.8452,0.2371,0.2371
"PC2",1.2479,0.104,0.3411
"PC3",1.0995,0.0916,0.4327
"PC4",1.0632,0.0886,0.5213
"PC5",0.9346,0.0779,0.5992
"PC6",0.8991,0.0749,0.6741
"PC7",0.861,0.0718,0.7459
"PC8",0.7388,0.0616,0.8074
"PC9",0.6605,0.055,0.8625
"PC10",0.5748,0.0479,0.9104
"PC11",0.5596,0.0466,0.957
"PC12",0.516,0.043,1
