"Variable","PC1","PC2","PC3"
"LICUADORA",-0.238,0.1686,-0.248
"REFRI",-0.2545,-0.0229,0.0645
"EST_GAS",-0.233,0.1012,-0.0939
"CAL_AGUA",-0.1021,0.1036,-0.2203
"RADIO",-0.0742,0.6318,0.0618
"TOCADISC",-0.1552,-0.5008,-0.2509
"TELEVIS",-0.2331,0.1467,-0.1133
"VIDEOCAS",-0.1392,-0.2096,-0.1916
"LAVADORA",-0.1813,-0.0987,0.2903
"VENTILA",-0.1417,-0.1568,0.4801
"AUTO_PROP",-0.0897,-0.0355,0.4645
"TRACTOR",-0.0326,0.0209,0.3736
