"Component","Eigenvalue","Proportion","Cumulative"
"PC1",3.898,0.3248,0.3248
"PC2",1.382,0.1152,0.44
"PC3",1.0207,0.0851,0.5251
"PC4",0.8849,0.0737,0.5988
"PC5",0.8326,0.0694,0.6682
"PC6",0.7407,0.0617,0.7299
"PC7",0.7049,0.0587,0.7887
"PC8",0.6061,0.0505,0.8392
"PC9",0.5653,0.0471,0.8863
"PC10",0.4877,0.0406,0.9269
"PC11",0.4485,0.0374,0.9643
"PC12",0.4285,0.0357,1
