"Variable","PC1","PC2","PC3"
"LICUADORA",-0.1802,-0.2345,-0.0647
"REFRI",-0.1924,-0.043,0.1912
"EST_GAS",-0.1815,-0.2306,0.0604
"CAL_AGUA",-0.1031,0.2705,-0.4932
"RADIO",-0.0918,-0.3893,-0.4824
"TOCADISC",-0.1364,0.2976,0.2015
"TELEVIS",-0.1711,-0.3056,0.0415
"VIDEOCAS",-0.1334,0.3168,-0.1745
"LAVADORA",-0.1668,0.1472,0.0792
"VENTILA",-0.1367,0.0251,0.548
"AUTO_PROP",-0.0955,0.2441,-0.0947
"CAMION_PRO",-0.1175,0.1567,-0.2665
