"Component","Eigenvalue","Proportion","Cumulative"
"PC1",10.9545,0.8427,0.8427
"PC2",0.7602,0.0585,0.9011
"PC3",0.3279,0.0252,0.9264
"PC4",0.2135,0.0164,0.9428
"PC5",0.1678,0.0129,0.9557
"PC6",0.1518,0.0117,0.9674
"PC7",0.1207,0.0093,0.9767
"PC8",0.0839,0.0065,0.9831
"PC9",0.0611,0.0047,0.9878
"PC10",0.0557,0.0043,0.9921
"PC11",0.051,0.0039,0.996
"PC12",0.0394,0.003,0.9991
"PC13",0.0123,9e-04,1
