"Variable","PC1","PC2","PC3"
"LICUADORA",0.7228,0.2586,0.0481
"REFRI",0.7434,0.008,-0.1874
"EST_GAS",0.7324,0.3095,-0.0344
"CAL_AGUA",0.3351,-0.4343,0.4782
"RADIO",0.3979,0.4783,0.5133
"TOCADISC",0.4473,-0.4558,-0.2665
"TELEVIS",0.6883,0.3934,0.0154
"VIDEOCAS",0.4495,-0.4514,0.0807
"LAVADORA",0.6041,-0.2247,-0.0972
"VENTILA",0.5594,0.0367,-0.4949
"AUTO_PROP",0.3425,-0.3413,0.1234
"CAMION_PRO",0.3728,-0.2585,0.3511
