"Variable","PC1","PC2","PC3"
"LICUADORA",-0.7024,-0.3241,-0.066
"REFRI",-0.7499,-0.0595,0.1952
"EST_GAS",-0.7074,-0.3186,0.0617
"CAL_AGUA",-0.4017,0.3738,-0.5034
"RADIO",-0.358,-0.5381,-0.4924
"TOCADISC",-0.5315,0.4113,0.2057
"TELEVIS",-0.667,-0.4224,0.0424
"VIDEOCAS",-0.52,0.4379,-0.1781
"LAVADORA",-0.65,0.2035,0.0809
"VENTILA",-0.5327,0.0348,0.5593
"AUTO_PROP",-0.3724,0.3373,-0.0967
"CAMION_PRO",-0.4579,0.2165,-0.2721
